Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/android/guava/src/com/google/common/collect/CompactHashMap.java,105,72,8,25,1,36,25,43
/android/guava/src/com/google/common/collect/CompactHashSet.java,53,24,4,25,1,21,25,6
/android/guava/src/com/google/common/collect/CompactLinkedHashMap.java,15,5,4,6,1,2,7,5
/android/guava/src/com/google/common/collect/CompactLinkedHashSet.java,20,7,4,9,1,3,9,7
/android/guava/src/com/google/common/collect/ComparatorOrdering.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/Comparators.java,18,7,1,10,1,4,9,4
/android/guava/src/com/google/common/collect/ComparisonChain.java,15,2,1,12,1,2,11,1
/android/guava/src/com/google/common/collect/CompoundOrdering.java,4,2,1,1,1,2,0,1
/android/guava/src/com/google/common/collect/ComputationException.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/ConcurrentHashMultiset.java,52,32,6,14,1,27,16,8
/android/guava/src/com/google/common/collect/ConsumingQueueIterator.java,3,1,1,1,1,1,0,1
/android/guava/src/com/google/common/collect/ContiguousSet.java,29,12,3,14,1,11,16,1
/android/guava/src/com/google/common/collect/Count.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/Cut.java,13,7,5,1,1,5,6,1
/android/guava/src/com/google/common/collect/DenseImmutableTable.java,33,30,1,2,1,22,9,1
/android/guava/src/com/google/common/collect/DescendingImmutableSortedMultiset.java,5,3,1,1,1,1,2,1
/android/guava/src/com/google/common/collect/DescendingImmutableSortedSet.java,4,2,1,1,1,1,1,1
/android/guava/src/com/google/common/collect/DescendingMultiset.java,3,1,1,1,1,1,0,1
/android/guava/src/com/google/common/collect/DiscreteDomain.java,16,3,1,12,1,2,12,1
/android/guava/src/com/google/common/collect/ElementTypesAreNonnullByDefault.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/EmptyContiguousSet.java,10,8,1,1,1,6,2,1
/android/guava/src/com/google/common/collect/EmptyImmutableListMultimap.java,4,1,2,1,1,1,1,1
/android/guava/src/com/google/common/collect/EmptyImmutableSetMultimap.java,4,1,2,1,1,1,1,1
/android/guava/src/com/google/common/collect/EnumBiMap.java,12,4,2,6,1,4,6,1
/android/guava/src/com/google/common/collect/EnumHashBiMap.java,17,10,2,5,1,10,4,2
/android/guava/src/com/google/common/collect/EnumMultiset.java,17,9,1,7,1,6,9,1
/android/guava/src/com/google/common/collect/EvictingQueue.java,9,2,2,5,1,3,4,1
/android/guava/src/com/google/common/collect/ExplicitOrdering.java,3,1,1,1,1,1,0,1
/android/guava/src/com/google/common/collect/FilteredEntryMultimap.java,6,4,1,1,1,4,0,1
/android/guava/src/com/google/common/collect/FilteredEntrySetMultimap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/FilteredKeyListMultimap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/FilteredKeyMultimap.java,4,2,1,1,1,2,0,1
/android/guava/src/com/google/common/collect/FilteredKeySetMultimap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/FilteredMultimap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/FilteredMultimapValues.java,4,2,1,1,1,2,0,1
/android/guava/src/com/google/common/collect/FilteredSetMultimap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/FluentIterable.java,67,20,3,44,1,17,44,5
/android/guava/src/com/google/common/collect/ForwardingBlockingDeque.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/ForwardingCollection.java,16,2,1,13,1,1,12,2
/android/guava/src/com/google/common/collect/ForwardingConcurrentMap.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/ForwardingDeque.java,7,4,1,2,1,4,1,1
/android/guava/src/com/google/common/collect/ForwardingImmutableCollection.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ForwardingImmutableList.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ForwardingImmutableMap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ForwardingImmutableSet.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ForwardingIterator.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/ForwardingList.java,14,1,1,12,1,0,11,2
/android/guava/src/com/google/common/collect/ForwardingListIterator.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/ForwardingListMultimap.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/ForwardingMap.java,19,1,1,17,1,0,16,2
/android/guava/src/com/google/common/collect/ForwardingMapEntry.java,7,1,1,5,1,0,4,2
/android/guava/src/com/google/common/collect/ForwardingMultimap.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/ForwardingMultiset.java,20,0,1,19,1,0,18,1
/android/guava/src/com/google/common/collect/ForwardingNavigableMap.java,25,0,1,24,1,0,23,1
/android/guava/src/com/google/common/collect/ForwardingNavigableSet.java,15,0,1,14,1,0,13,1
/android/guava/src/com/google/common/collect/ForwardingObject.java,6,0,2,4,1,0,3,2
/android/guava/src/com/google/common/collect/ForwardingQueue.java,8,2,1,5,1,2,4,1
/android/guava/src/com/google/common/collect/ForwardingSet.java,8,2,1,5,1,1,4,2
/android/guava/src/com/google/common/collect/ForwardingSetMultimap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ForwardingSortedMap.java,10,3,1,6,1,1,6,2
/android/guava/src/com/google/common/collect/ForwardingSortedMultiset.java,12,0,1,11,1,0,10,1
/android/guava/src/com/google/common/collect/ForwardingSortedSet.java,8,2,1,5,1,2,4,1
/android/guava/src/com/google/common/collect/ForwardingSortedSetMultimap.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/ForwardingTable.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/GeneralRange.java,18,8,2,8,1,9,7,1
/android/guava/src/com/google/common/collect/GwtTransient.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/HashBasedTable.java,5,0,1,4,1,0,3,1
/android/guava/src/com/google/common/collect/HashBiMap.java,67,23,5,39,1,27,38,1
/android/guava/src/com/google/common/collect/Hashing.java,7,3,3,1,1,3,2,1
/android/guava/src/com/google/common/collect/HashMultimap.java,10,3,1,6,1,3,5,1
/android/guava/src/com/google/common/collect/HashMultimapGwtSerializationDependencies.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/HashMultiset.java,6,1,1,4,1,1,3,1
/android/guava/src/com/google/common/collect/IgnoreJRERequirement.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ImmutableAsList.java,8,5,1,2,1,4,2,1
/android/guava/src/com/google/common/collect/ImmutableBiMap.java,50,15,1,34,1,12,34,3
/android/guava/src/com/google/common/collect/ImmutableClassToInstanceMap.java,15,4,1,10,1,3,10,1
/android/guava/src/com/google/common/collect/ImmutableCollection.java,40,15,5,20,1,12,25,2
/android/guava/src/com/google/common/collect/ImmutableEntry.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ImmutableEnumMap.java,8,5,2,1,1,2,4,1
/android/guava/src/com/google/common/collect/ImmutableEnumSet.java,10,6,3,1,1,3,5,1
/android/guava/src/com/google/common/collect/ImmutableList.java,70,26,2,42,1,16,47,6
/android/guava/src/com/google/common/collect/ImmutableListMultimap.java,39,13,1,25,1,10,24,4
/android/guava/src/com/google/common/collect/ImmutableMap.java,84,36,5,43,1,25,55,3
/android/guava/src/com/google/common/collect/ImmutableMapEntrySet.java,9,7,1,1,1,5,2,1
/android/guava/src/com/google/common/collect/ImmutableMapKeySet.java,5,3,1,1,1,2,1,1
/android/guava/src/com/google/common/collect/ImmutableMapValues.java,7,5,1,1,1,4,1,1
/android/guava/src/com/google/common/collect/ImmutableMultimap.java,62,24,2,36,1,12,42,7
/android/guava/src/com/google/common/collect/ImmutableMultiset.java,53,19,3,31,1,19,32,1
/android/guava/src/com/google/common/collect/ImmutableMultisetGwtSerializationDependencies.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ImmutableRangeMap.java,24,8,1,15,1,7,15,1
/android/guava/src/com/google/common/collect/ImmutableRangeSet.java,48,20,1,27,1,15,31,1
/android/guava/src/com/google/common/collect/ImmutableSet.java,65,36,4,25,1,27,31,6
/android/guava/src/com/google/common/collect/ImmutableSetMultimap.java,48,19,1,28,1,13,30,4
/android/guava/src/com/google/common/collect/ImmutableSortedMap.java,125,61,2,62,1,56,66,2
/android/guava/src/com/google/common/collect/ImmutableSortedMultiset.java,73,28,4,41,1,24,46,2
/android/guava/src/com/google/common/collect/ImmutableSortedSet.java,99,41,4,54,2,34,59,4
/android/guava/src/com/google/common/collect/ImmutableTable.java,35,8,1,26,1,8,25,1
/android/guava/src/com/google/common/collect/IndexedImmutableSet.java,7,6,1,0,1,5,1,0
/android/guava/src/com/google/common/collect/Interner.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/Interners.java,17,6,2,9,1,6,9,1
/android/guava/src/com/google/common/collect/Iterables.java,86,38,2,46,1,21,46,18
/android/guava/src/com/google/common/collect/Iterators.java,97,32,6,59,1,28,63,5
/android/guava/src/com/google/common/collect/LexicographicalOrdering.java,5,3,1,1,1,3,0,1
/android/guava/src/com/google/common/collect/LinkedHashMultimap.java,28,12,4,12,1,11,15,1
/android/guava/src/com/google/common/collect/LinkedHashMultimapGwtSerializationDependencies.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/LinkedHashMultiset.java,5,0,1,4,1,0,3,1
/android/guava/src/com/google/common/collect/LinkedListMultimap.java,61,36,6,19,1,29,25,6
/android/guava/src/com/google/common/collect/ListMultimap.java,7,0,1,6,1,0,5,1
/android/guava/src/com/google/common/collect/Lists.java,61,26,1,34,1,22,35,3
/android/guava/src/com/google/common/collect/MapDifference.java,14,0,1,13,1,0,12,1
/android/guava/src/com/google/common/collect/MapMaker.java,17,6,1,10,1,5,10,1
/android/guava/src/com/google/common/collect/MapMakerInternalMap.java,207,94,6,107,2,76,117,12
/android/guava/src/com/google/common/collect/Maps.java,170,77,9,84,1,69,99,1
/android/guava/src/com/google/common/collect/MinMaxPriorityQueue.java,105,58,5,42,1,52,49,3
/android/guava/src/com/google/common/collect/MoreCollectors.java,11,5,2,4,1,3,6,1
/android/guava/src/com/google/common/collect/Multimap.java,27,5,1,21,1,0,20,6
/android/guava/src/com/google/common/collect/MultimapBuilder.java,31,5,2,24,1,5,23,2
/android/guava/src/com/google/common/collect/Multimaps.java,78,27,3,48,1,26,49,2
/android/guava/src/com/google/common/collect/Multiset.java,33,7,1,25,1,2,24,6
/android/guava/src/com/google/common/collect/Multisets.java,63,23,4,36,1,26,35,1
/android/guava/src/com/google/common/collect/MutableClassToInstanceMap.java,9,2,2,5,1,2,5,1
/android/guava/src/com/google/common/collect/NaturalOrdering.java,6,4,1,1,1,1,3,1
/android/guava/src/com/google/common/collect/NullnessCasts.java,5,1,1,3,1,1,2,1
/android/guava/src/com/google/common/collect/NullsFirstOrdering.java,6,4,1,1,1,4,0,1
/android/guava/src/com/google/common/collect/NullsLastOrdering.java,6,4,1,1,1,4,0,1
