class,smell,description
\android\guava\src\com\google\common\collect\Synchronized.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\TableCollectors.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Tables.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\TreeRangeMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\TreeRangeSet.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\graph\DirectedGraphConnections.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\graph\Graphs.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\graph\ImmutableNetwork.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\graph\Traverser.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\io\Files.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\reflect\ClassPath.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\reflect\Invokable.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\reflect\TypeToken.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\reflect\Types.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\util\concurrent\AbstractFuture.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\util\concurrent\ClosingFuture.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\util\concurrent\CycleDetectingLockFactory.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\util\concurrent\Futures.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\util\concurrent\MoreExecutors.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\util\concurrent\ServiceManager.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\util\concurrent\Striped.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\util\concurrent\WrappingExecutorService.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\src-super\com\google\common\cache\super\com\google\common\cache\LocalCache.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\src-super\com\google\common\collect\super\com\google\common\collect\ImmutableBiMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\src-super\com\google\common\collect\super\com\google\common\collect\ImmutableList.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\src-super\com\google\common\collect\super\com\google\common\collect\ImmutableMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\src-super\com\google\common\collect\super\com\google\common\collect\ImmutableSet.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\src-super\com\google\common\collect\super\com\google\common\collect\ImmutableSortedMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\src-super\com\google\common\collect\super\com\google\common\collect\ImmutableSortedSet.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\base\Functions.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\base\Predicates.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\base\Suppliers.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\cache\CacheBuilder.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\cache\LocalCache.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\cache\super\com\google\common\cache\LocalCache.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\AbstractBiMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\AbstractMapBasedMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ArrayTable.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\CollectCollectors.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Collections2.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\DenseImmutableTable.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\FilteredEntryMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\FluentIterable.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\HashBiMap.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableBiMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableList.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableListMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableMultiset.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableSet.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableSetMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableSortedMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableSortedSet.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\ImmutableTable.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Iterables.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Iterators.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\LinkedHashMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\LinkedListMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Lists.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Maps.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\MultimapBuilder.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Multimaps.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Multisets.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Ordering.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Queues.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Range.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\RegularImmutableBiMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\RegularImmutableMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\RegularImmutableTable.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Sets.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\SortedLists.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\SparseImmutableTable.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\StandardTable.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\guava-gwt\target\classes\com\google\common\collect\Streams.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
