Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/SignerException.java,3,0,0,3,1,0,1,1
/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/SignerSecretProvider.java,6,0,0,6,1,0,4,1
/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/ZKSignerSecretProvider.java,30,12,0,18,1,12,16,1
/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/ZookeeperClient.java,8,5,0,3,1,3,2,2
/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/util/PlatformName.java,11,4,0,7,1,4,5,1
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/AuthenticatorTestCase.java,7,6,0,1,1,6,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestAuthenticatedURL.java,2,1,0,1,1,1,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestKerberosAuthenticator.java,7,5,0,2,1,5,0,1
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestPseudoAuthenticator.java,1,0,0,1,1,0,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/KerberosTestUtils.java,4,2,0,2,1,2,0,1
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/LdapConstants.java,3,0,0,3,1,0,1,1
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAltKerberosAuthenticationHandler.java,10,9,0,1,1,9,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationFilter.java,56,55,0,1,1,55,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationToken.java,1,0,0,1,1,0,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestJWTRedirectAuthenticationHandler.java,3,2,0,1,1,2,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestKerberosAuthenticationHandler.java,15,11,0,4,1,11,2,1
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestLdapAuthenticationHandler.java,3,1,0,2,1,1,0,1
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestMultiSchemeAuthenticationHandler.java,7,5,0,2,1,5,0,1
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestPseudoAuthenticationHandler.java,1,0,0,1,1,0,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/StringSignerSecretProvider.java,2,0,0,2,1,0,0,1
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/StringSignerSecretProviderCreator.java,3,0,0,3,1,0,1,1
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestAuthToken.java,10,9,0,1,1,9,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestCertificateUtil.java,1,0,0,1,1,0,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestFileSignerSecretProvider.java,1,0,0,1,1,0,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestJaasConfiguration.java,4,3,0,1,1,0,1,2
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestKerberosName.java,3,2,0,1,1,2,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestKerberosUtil.java,17,16,0,1,1,16,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestRandomSignerSecretProvider.java,8,6,0,2,1,5,2,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestRolloverSignerSecretProvider.java,2,1,0,1,1,1,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestSigner.java,10,9,0,1,1,9,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestStringSignerSecretProvider.java,1,0,0,1,1,0,0,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestZKSignerSecretProvider.java,20,16,0,4,1,13,6,0
/hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestZookeeperClientCreation.java,4,2,0,2,1,0,2,1
/hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/RequestLoggerFilter.java,3,0,0,3,1,0,1,1
/hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoClient.java,2,0,0,2,1,0,0,1
/hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoServlet.java,2,0,0,2,1,0,0,1
/hadoop-common-project/hadoop-common/dev-support/jdiff/Null.java,1,0,0,1,0,0,0,1
/hadoop-common-project/hadoop-common/src/main/arm-java/org/apache/hadoop/ipc/protobuf/ProtobufRpcEngineProtos.java,53,18,0,35,4,0,47,2
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/ConfigRedactor.java,5,0,0,5,1,0,3,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configurable.java,4,0,0,4,1,0,2,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configuration.java,239,95,0,144,1,94,143,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/ConfigurationWithLogging.java,9,0,0,9,1,0,7,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configured.java,6,2,0,4,1,0,4,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/ConfServlet.java,4,0,0,4,1,0,2,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Reconfigurable.java,5,0,0,5,1,0,3,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/ReconfigurableBase.java,17,2,0,15,1,0,15,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/ReconfigurationException.java,9,0,0,9,1,0,7,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/ReconfigurationServlet.java,10,6,0,4,1,2,3,4
